index,x[mm],y[mm]
371,-37.800000,-14.549227
372,-14.700000,-40.010374
373,29.400000,-29.098454
374,44.100000,3.637307
375,18.900000,40.010374
376,-29.400000,29.098454
377,-39.900000,-10.911920
378,-18.900000,-40.010374
379,-27.300000,32.735760
380,-42.000000,14.549227
381,-33.600000,-29.098454
382,8.400000,-43.647680
383,42.000000,-14.549227
384,33.600000,29.098454
385,-8.400000,43.647680
386,-39.900000,18.186533
387,-35.700000,-25.461147
388,4.200000,-43.647680
389,39.900000,-18.186533
390,35.700000,25.461147
391,-4.200000,43.647680
392,-37.800000,21.823840
393,-37.800000,-21.823840
394,0.000000,-43.647680
395,37.800000,-21.823840
396,37.800000,21.823840
397,0.000000,43.647680
398,-35.700000,25.461147
399,-39.900000,-18.186533
400,-4.200000,-43.647680
401,35.700000,-25.461147
402,39.900000,18.186533
403,4.200000,43.647680
404,-33.600000,29.098454
405,-42.000000,-14.549227
406,-8.400000,-43.647680
407,42.000000,14.549227
408,8.400000,43.647680
409,21.000000,-36.373067
410,-25.200000,36.373067
411,44.100000,-10.911920
412,-31.500000,-32.735760
413,27.300000,-32.735760
414,-21.000000,36.373067
415,-42.000000,-7.274613
